NEW REF NUMB,DATA ELEMENT,ANSWER OPTIONS/VARIABLES,IMPORT/EXPORT CODES,LOGIC,VALIDATION RULES/FUZZY  LOGIC
FOLLOW-UP FORM,,,,,
Patient details,,,,,
2.000,Title,"Mr
Ms
Mrs
Miss
Mx
Dr
Sr
Master
Fr
Reverend
Professor","MR = Mister
MS = Ms
MRS = Mrs
MISS = Miss
MX = Mx
DR = Doctor
SR =  Senior
MSTR = MASTER
FR = Father
REV = Reverend
PROF = Professor",,
2.010,First name,Free text,Free text,,
2.020,Last name,Free text,Free text,,
2.090,Preferred phone number,"Free text (numerical, max 10 chars)
","Free text
Numerical, Area code and 8 digit space (max 10 char)
(XX) XXXX XXXX",,"•	Standards Compliance: All phone numbers must conform to the E.164 numbering format

•	Allowed Input Formats:
o	May be entered with or without spaces, dashes, or parentheses for readability.
o	Only accept as a domestic Australian number (see below).

•	Australian Numbers:
o	Domestic landline format: (0x) xxxx xxxx where x is a digit and 0x is a valid area code (e.g., 02, 03, 07, 08).
o	Mobile format: (04) xxxx xxxx 
•	Validation Checks:
o	Strip spaces, dashes, and parentheses before validation.
o	Ensure the number contains digits only.

•	Examples:
o	Valid: 03 1234 5678, 04 1234 5678
o	Invalid: +61 123, 041234567890, +999 123 456 (invalid country code)"
2.100,Additional phone number,"Free text (numerical, max 10 chars)
","Free text
Numerical (max char 10)
(XX) XXXX XXXX",,"•	Standards Compliance: All phone numbers must conform to the E.164 numbering format

•	Allowed Input Formats:
o	May be entered with or without spaces, dashes, or parentheses for readability.
o	Only accept as a domestic Australian number (see below).

•	Australian Numbers:
o	Domestic landline format: (0x) xxxx xxxx where x is a digit and 0x is a valid area code (e.g., 02, 03, 07, 08).
o	Mobile format: (04) xxxx xxxx 
•	Validation Checks:
o	Strip spaces, dashes, and parentheses before validation.
o	Ensure the number contains digits only.

•	Examples:
o	Valid: 03 1234 5678, 04 1234 5678
o	Invalid: +61 123, 041234567890, +999 123 456 (invalid country code)"
2.120,Address type,"Home, Business, Other","HOME = Home 
BUS = Business
OTH = Other",,
2.130,Street address,Free text (alpha numerical),"Free text, alpha numerical",,
2.140,Suburb,Free text,Free text,,
2.150,Postcode,"Free text (numerical, max 4 chars)","Free text, numerical, max 4 char",,
2.160,State,"Australian Capital Territory
New South Wales
Northern Territory
Queensland
South Australia
Tasmania
Victoria
Western Australia
Other
Overseas","ACT = Australian Capital Territory
NSW = New South Wales
NT = Northern Territory
QLD = Queensland
SA = South Australia
TAS = Tasmania
VIC = Victoria
WA = Western Australia
OTH = Other
OS = Overseas",,
2.170,Country,Free text,Free text,"Default to ""Australia"" if 2.160 = ACT, NSW, NT, QLD, SA, TAS, VIC, WA, OTH",
3.060,Date of birth,DD/MM/YYYY,DD/MM/YYYY,,"Cannot be future dated. 
Patient must be between 0 and 125 years old. "
3.070,Age on form completion,Free text,"Free text (numerical)  in export

",,Derived from DOB (3.060).
3.140,Gender,"Male
Female
Other
Missing / not stated","1 = Male
2 = Female
3 = Other
9 = Missing / not stated",,
3.190,Indigenous status,"Aboriginal but not Torres Strait Islander origin
Torres Strait Islander but not Aboriginal origin
Both Aboriginal and Torres Strait Islander origin
Neither Aboriginal nor Torres Strait Islander origin
Missing / not stated","1 = Aboriginal but not Torres Strait Islander origin
2 = Torres Strait Islander but not Aboriginal origin
3 = Both Aboriginal and Torres Strait Islander origin
4 = Neither Aboriginal nor Torres Strait Islander origin
9 = Missing / not stated",,
3.210,Medicare number,Free text (10 chars),"Free text (numerical, must be 10 chars)",,Medicare Check Digit Routine
Collected data,,,,,
6.070,Where are you staying at present?,"Residential aged care service
Home with supports                                                          
Home without supports                               
Rehabilitation (inpatient)                                  Transitional care services                                       Hospital                                                                               Other                                                                                 Missing","1 = Residential aged care service
3 = Home with supports                                             
4 = Home without supports                                            
5 = Rehabilitation (inpatient)                                     
6 = Transitional care services                                
7 = Hospital                                                                  
9 = Other
0 = Missing                                                                      ",,
6.080,Do you live on your own?,"Yes, I live entirely on my own                                              No, I live with others                                                    Missing","1 = Yes, I live entirely on my own                             
2 = No, I live with others                                                
9 = Missing",,
6.090,"Since you were in hospital for your stroke, have you had another stroke?","Yes, No, Unknown","1 = Yes, 2 = No, 9 = Unknown",,
6.100,"Since you were in hospital for your stroke, have you been readmitted to hospital?","Yes, No, Unknown","1 = Yes, 2 = No, 9 = Unknown",,
